Region_ID,Region_name,Region_class,Process_ID,Sv_mean,Sv_max,Height_mean,Depth_mean,Ping_M,Dist_M,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Program_version,EV_filename,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
1,"Region 1","Krill Schools",2081,-75.226277,-67.129954,1.744629,6.424911,31,1517.519802,20220425, 20:25:03.3900,20220425, 20:25:51.3900,20220425, 20:25:27.3900,33.16341741,-117.43524232,33.16340338,-117.43522787,33.16340667,-117.43524768,"13.0.398.0","C:\Work\GliderTesting\Azfp echoview template\AZFP template.EV",9.558724,4.913569,47.492957,16.255041,0.00000003401933,-9999.000000,4.163569,-9999.000000,-9999.000000,0.00000007994040,0.00000000069566,0.00000005236914,-72.8092454615,1.744629,67.000000,6.451356,2.055910,1.000000,6.877837,0.145395
2,"Region 2","Krill Schools",2081,-75.254022,-66.480456,2.165502,59.451808,132,1705.613354,20220425, 20:43:26.3800,20220425, 20:45:38.3800,20220425, 20:44:32.3800,33.16252176,-117.43581471,33.16251523,-117.43603459,33.16251850,-117.43592451,"13.0.398.0","C:\Work\GliderTesting\Azfp echoview template\AZFP template.EV",21.482601,4.170188,126.943683,46.490867,0.00000004070199,-9999.000000,3.420188,-9999.000000,-9999.000000,0.00000015007372,0.00000000193231,0.00000006458867,-71.8984366423,2.165502,67.000000,59.463520,0.826929,1.000000,17.405366,0.057454
3,"Region 3","Krill Schools",2081,-74.781687,-66.224876,3.672334,47.827209,209,1887.288146,20220425, 21:03:47.8300,20220425, 21:06:05.8300,20220425, 21:04:53.8300,33.16243215,-117.43504277,33.16240765,-117.43527807,33.16242044,-117.43515522,"13.0.398.0","C:\Work\GliderTesting\Azfp echoview template\AZFP template.EV",22.975402,9.482644,265.369781,84.795704,0.00000004083372,-9999.000000,8.732644,-9999.000000,-9999.000000,0.00000013296179,0.00000000123570,0.00000012211624,-69.1322658813,3.672334,67.000000,47.811052,7.096960,0.989508,34.778852,0.028753
4,"Region 4","Krill Schools",2081,-74.342618,-64.904101,3.543904,66.739736,209,1887.288146,20220425, 21:03:47.8300,20220425, 21:06:05.8300,20220425, 21:04:53.8300,33.16243215,-117.43504277,33.16240765,-117.43527807,33.16242044,-117.43515522,"13.0.398.0","C:\Work\GliderTesting\Azfp echoview template\AZFP template.EV",22.975402,8.974969,316.318163,81.832801,0.00000005114153,-9999.000000,8.224969,-9999.000000,-9999.000000,0.00000020238971,0.00000000189031,0.00000013038275,-68.8477986716,3.543904,67.000000,66.439088,7.014623,0.981027,28.459710,0.035137
5,"Region 5","Krill Schools",2081,-75.516120,-68.880999,1.802926,39.072263,210,1888.207261,20220425, 21:04:17.8300,20220425, 21:05:47.8300,20220425, 21:04:59.8300,33.16242683,-117.43509380,33.16241092,-117.43524661,33.16241942,-117.43516500,"13.0.398.0","C:\Work\GliderTesting\Azfp echoview template\AZFP template.EV",15.397006,4.478419,78.766772,27.806364,0.00000002974503,-9999.000000,3.728419,-9999.000000,-9999.000000,0.00000009664146,0.00000000073128,0.00000005062510,-72.9563408965,1.802926,67.000000,39.066756,1.225815,1.000000,13.597692,0.073542
6,"Region 6","Krill Schools",2081,-72.213798,-51.446030,15.735121,50.884605,309,2120.952038,20220425, 21:24:20.6500,20220425, 21:33:56.6500,20220425, 21:29:08.6500,33.16177335,-117.43460220,33.16116271,-117.43606432,33.16146968,-117.43531249,"13.0.398.0","C:\Work\GliderTesting\Azfp echoview template\AZFP template.EV",154.139289,31.167619,2423.899736,2476.543015,0.00000018454997,-9999.000000,30.417619,-9999.000000,-9999.000000,0.00000093868257,0.00000000938854,0.00000094512718,-60.2450974764,15.735121,67.000000,49.194535,62.025622,0.998028,145.906491,0.006854
7,"Region 7","Krill Schools",2081,-74.080604,-63.452965,1.952596,68.971398,344,2177.807540,20220425, 21:31:26.6500,20220425, 21:33:56.6500,20220425, 21:32:38.6500,33.16132294,-117.43567187,33.16116271,-117.43606432,33.16124581,-117.43586080,"13.0.398.0","C:\Work\GliderTesting\Azfp echoview template\AZFP template.EV",42.281353,4.949831,238.883641,82.259029,0.00000004752645,-9999.000000,4.199831,-9999.000000,-9999.000000,0.00000008860434,0.00000000110517,0.00000007630483,-71.1744799396,1.952596,67.000000,68.922087,1.459839,0.951071,19.480755,0.051333
8,"Region 8","Krill Schools",2081,-73.217282,-60.069361,10.563720,42.125234,463,2518.986410,20220425, 21:54:29.0200,20220425, 22:02:23.0200,20220425, 21:58:23.0200,33.15975229,-117.43591503,33.15907090,-117.43703188,33.15940887,-117.43646017,"13.0.398.0","C:\Work\GliderTesting\Azfp echoview template\AZFP template.EV",130.914240,29.644594,2036.298983,1379.762295,0.00000007031734,-9999.000000,28.894594,-9999.000000,-9999.000000,0.00000019744953,0.00000000187800,0.00000050360346,-62.9791129453,10.563720,67.000000,41.312211,45.846303,1.000000,266.125172,0.003758
9,"Region 9","Krill Schools",2081,-74.612186,-66.000311,1.025113,69.927594,502,2582.500310,20220425, 22:01:41.0200,20220425, 22:02:53.0200,20220425, 22:02:17.0200,33.15913008,-117.43693176,33.15902806,-117.43710435,33.15907957,-117.43701721,"13.0.398.0","C:\Work\GliderTesting\Azfp echoview template\AZFP template.EV",21.258541,2.375194,98.149752,21.767584,0.00000004620674,-9999.000000,1.625194,-9999.000000,-9999.000000,0.00000022665440,0.00000000115722,0.00000003544485,-74.5044687715,1.025113,67.000000,70.121185,0.440786,1.000000,4.787783,0.208865
10,"Region 10","Krill Schools",2081,-73.519613,-62.028185,10.482672,39.201318,600,2742.720539,20220425, 22:08:35.0200,20220425, 22:15:35.0200,20220425, 22:12:05.0200,33.15854560,-117.43792050,33.15795322,-117.43892258,33.15824890,-117.43842240,"13.0.398.0","C:\Work\GliderTesting\Azfp echoview template\AZFP template.EV",115.869576,23.770069,1591.341013,1215.410995,0.00000005819289,-9999.000000,23.020069,-9999.000000,-9999.000000,0.00000015297566,0.00000000144511,0.00000046613385,-63.3148935873,10.482672,67.000000,38.917655,29.553720,0.996224,273.340577,0.003658
