Region_ID,Region_name,Region_class,Process_ID,Sv_mean,Sv_max,Height_mean,Depth_mean,Ping_M,Dist_M,Date_S,Time_S,Date_E,Time_E,Date_M,Time_M,Lat_S,Lon_S,Lat_E,Lon_E,Lat_M,Lon_M,Program_version,EV_filename,Uncorrected_length,Uncorrected_thickness,Uncorrected_perimeter,Uncorrected_area,Standard_deviation,Corrected_length,Corrected_thickness,Corrected_perimeter,Corrected_area,Horizontal_roughness_coefficient,Vertical_roughness_coefficient,ABC,Area_Backscatter_Strength,Thickness_mean,Frequency,Center_of_mass,Inertia,Proportion_occupied,Equivalent_area,Aggregation_index
1,"Region 1","Krill Schools",2079,-67.941659,-57.787477,2.235030,177.622801,442,1886.279470,20220425, 21:31:42.0011,20220425, 21:32:00.0011,20220425, 21:31:48.0011,33.15933680,-117.43490870,33.15930164,-117.43495920,33.15932511,-117.43492549,"13.0.398.0","C:\Work\GliderTesting\Nortek echoview template\Test_nortek_template.EV",7.893406,2.980040,22.089920,17.843439,0.00000041130796,-9999.000000,2.230040,-9999.000000,-9999.000000,0.00000000294721,0.00000238498648,0.00000035901903,-64.4488253258,2.235030,70.000000,177.554344,0.568173,1.000000,1.227495,0.814667
2,"Region 2","Krill Schools",2079,-62.673971,-54.454074,1.862525,249.143761,1197,4110.702211,20220425, 23:18:42.0011,20220425, 23:19:00.0011,20220425, 23:18:48.0011,33.14423051,-117.44541865,33.14419288,-117.44547117,33.14421793,-117.44543620,"13.0.398.0","C:\Work\GliderTesting\Nortek echoview template\Test_nortek_template.EV",8.618349,2.235030,21.668699,16.034284,0.00000109232806,-9999.000000,1.485030,-9999.000000,-9999.000000,0.00000280246231,0.00000395096717,0.00000100624802,-59.9729495957,1.862525,70.000000,249.104719,0.197665,1.000000,1.525564,0.655495
3,"Region 3","Krill Schools",2079,-69.647452,-61.440848,1.713523,199.657281,1209,4136.160221,20220425, 23:19:48.0011,20220425, 23:20:12.0011,20220425, 23:20:00.0012,33.14409429,-117.44560880,33.14404407,-117.44567890,33.14406912,-117.44564394,"13.0.398.0","C:\Work\GliderTesting\Nortek echoview template\Test_nortek_template.EV",10.774192,2.235030,25.969154,18.446918,0.00000020786022,-9999.000000,1.485030,-9999.000000,-9999.000000,0.00000082437379,0.00000099447530,0.00000018584239,-67.3085522943,1.713523,70.000000,199.718763,0.240769,1.000000,1.898261,0.526798
4,"Region 4","Krill Schools",2079,-44.141540,-33.297211,1.738357,309.077155,1228,4176.686184,20220425, 23:21:42.0011,20220425, 23:22:12.0012,20220425, 23:21:54.0011,33.14385740,-117.44593949,33.14379674,-117.44602418,33.14383222,-117.44597465,"13.0.398.0","C:\Work\GliderTesting\Nortek echoview template\Test_nortek_template.EV",12.532660,3.725050,32.469690,21.578611,0.00010643438546,-9999.000000,2.975050,-9999.000000,-9999.000000,0.00055781594500,0.00019179315523,0.00006698613350,-41.7401508933,1.738357,70.000000,308.607884,0.228028,0.928571,1.161893,0.860665
5,"Region 5","Krill Schools",2079,-78.963618,-70.386784,1.490020,113.551941,1373,4484.387716,20220425, 23:36:12.0011,20220425, 23:36:42.0011,20220425, 23:36:24.0011,33.14205873,-117.44845042,33.14199802,-117.44853518,33.14203353,-117.44848560,"13.0.398.0","C:\Work\GliderTesting\Nortek echoview template\Test_nortek_template.EV",12.539748,2.980040,31.241165,18.684475,0.00000002682360,-9999.000000,2.230040,-9999.000000,-9999.000000,0.00000000017553,0.00000010601441,0.00000001891604,-77.2316972563,1.490020,70.000000,113.667026,0.595118,1.000000,1.693740,0.590409
6,"Region 6","Krill Schools",2079,-67.383790,-58.566540,1.303768,212.664878,1374,4486.521998,20220425, 23:36:18.0011,20220425, 23:36:48.0011,20220425, 23:36:30.0012,33.14204649,-117.44846751,33.14198543,-117.44855275,33.14202106,-117.44850302,"13.0.398.0","C:\Work\GliderTesting\Nortek echoview template\Test_nortek_template.EV",12.587966,2.235030,29.589400,16.397098,0.00000040634658,-9999.000000,1.485030,-9999.000000,-9999.000000,0.00000000358570,0.00000235531566,0.00000023813385,-66.2317887307,1.303768,70.000000,212.634827,0.275886,1.000000,1.369096,0.730409
7,"Region 7","Krill Schools",2079,-65.513384,-57.460342,1.713523,249.815889,1809,5731.077234,20220426, 00:31:25.0012,20220426, 00:31:49.0011,20220426, 00:31:37.0012,33.13402561,-117.45645049,33.13400775,-117.45651727,33.13401669,-117.45648383,"13.0.398.0","C:\Work\GliderTesting\Nortek echoview template\Test_nortek_template.EV",8.175292,2.235030,20.522434,14.012465,0.00000050513741,-9999.000000,1.485030,-9999.000000,-9999.000000,0.00000187047462,0.00000187845676,0.00000048145036,-63.1744848703,1.713523,70.000000,249.876304,0.253771,1.000000,2.093925,0.477572
8,"Region 8","Krill Schools",2079,-68.346714,-59.661265,1.639022,187.307931,2156,6291.151692,20220426, 01:06:07.0011,20220426, 01:06:31.0011,20220426, 01:06:19.0012,33.13249629,-117.46217168,33.13247827,-117.46223910,33.13248759,-117.46220423,"13.0.398.0","C:\Work\GliderTesting\Nortek echoview template\Test_nortek_template.EV",8.256957,2.235030,20.957560,13.610988,0.00000029954144,-9999.000000,1.485030,-9999.000000,-9999.000000,0.00000221133006,0.00000101442630,0.00000023983546,-66.2008661098,1.639022,70.000000,187.427625,0.188476,1.000000,1.639042,0.610112
9,"Region 9","Krill Schools",2079,-72.439162,-64.184296,1.639022,137.392261,2345,6851.689242,20220426, 01:31:27.0011,20220426, 01:31:51.0011,20220426, 01:31:39.0011,33.12949988,-117.46552076,33.12948061,-117.46561255,33.12949052,-117.46556533,"13.0.398.0","C:\Work\GliderTesting\Nortek echoview template\Test_nortek_template.EV",11.052322,2.235030,26.550849,18.208670,0.00000011678503,-9999.000000,1.485030,-9999.000000,-9999.000000,0.00000120574039,0.00000045647780,0.00000009346921,-70.2933142322,1.639022,70.000000,137.386512,0.226338,1.000000,1.637985,0.610506
10,"Region 10","Krill Schools",2079,-77.496240,-68.210843,1.955651,130.128413,2357,6877.873419,20220426, 01:32:45.0011,20220426, 01:33:03.0011,20220426, 01:32:51.0011,33.12943817,-117.46581462,33.12942369,-117.46588360,33.12943336,-117.46583757,"13.0.398.0","C:\Work\GliderTesting\Nortek echoview template\Test_nortek_template.EV",8.839135,2.607535,22.873324,17.295153,0.00000003869061,-9999.000000,1.857535,-9999.000000,-9999.000000,0.00000000117422,0.00000018896638,0.00000003480707,-74.5833257441,1.955651,70.000000,130.179851,0.496001,1.000000,1.422139,0.703166
